insurer,category,name,contracts,monthly_premium
iM라이프,연금보험,오토파일럿 마이솔루션AI변액연금보험S,,
IBK연금보험,연금보험,(무)IBK연금액 평생보증받는 변액연금보험,,
메트라이프,연금보험,(무)변액연금보험 동행Plus,,
BNP파리바카디프생명,연금보험,시그니처 ETF 변액연금,,
메트라이프,연금보험,(무)변액연금보험 동행,,
메트라이프,종신보험,(무)백만인을위한달러종신보험Plus,,
한화생명,종신보험,한화생명 H종신보험 무배당,,
하나생명,종신보험,하나로 THE 연결된 종신보험,,
교보생명,종신보험,(무)교보실속종신보험Plus,,
KB라이프,종신보험,KB 7년의약속 플러스 평생종신보험(무),,
교보생명,단체기업,(무)교보단체보장보험,,
삼성생명,단체기업,기업재해보장,,
CHUBB,암,매월받는 암생활비보험Ⅱ(갱신형) 무배당,,
한화생명,암,간편가입The시그니처암(무),,
메트라이프,암,360암보험,,
동양생명,질병·치매,(무)우리WON하는치매간병보험,,
흥국생명,질병·치매,(무)흥국생명치매담은시니어보장보험,,
동양생명,질병·치매,무배당 수호천사 치매간병은 동양생명보험,,
신한라이프,질병·치매,신한치매간병보험 ONE더케어(무),,
DB생명,질병·치매,무배당 백년친구 당신곁에 치매간병보험,,
동양생명,종합,(무)우리WON하는보장보험,,
흥국생명,종합,(무)흥국생명 다(多)사랑통합보험,,
흥국생명,종합,흥국생명 다재다능1540 종합보험,,
삼성생명,종합,삼성 The 퍼스트 건강보험(무),,
신한라이프,종합,(간편)신한통합건강보장보험 원(ONE),,
라이나생명,치아,(무)THE건강한치아보험,,
라이나생명,치아,무배당 THE실속있는 치아보험(갱신형),,
삼성생명,치아,"삼성생명 치아보험(갱신형,무배당) 빠짐없이 튼튼하게",,
미래에셋생명,치아,미래에셋생명 치아보험 무배당,,
