insurer,category,name,contracts,monthly_premium
삼성화재,운전자,(무)삼성화재 운전자보험 안전운전 파트너 플러스,4927,113809019
KB손보,운전자,KB 플러스 운전자상해보험(무배당),4464,91009611
DB손보,운전자,참좋은운전자상해보험,3868,80492605
메리츠화재,운전자,메리츠 운전자 상해 종합보험,2872,55270624
삼성화재,건강보험,건강보험 New내돈내삼,2323,201151551
한화손보,운전자,무배당 한화 운전자상해보험,1749,43943003
현대해상,운전자,무배당뉴하이카운전자상해보험,1633,34101893
DB손보,건강보험,건강할때 가입하는 청춘어람플러스 종합보험,1568,144508004
DB손보,건강보험,나에게 맞춘 더좋은 초경증 간편건강보험,1397,122264869
현대해상,건강보험,내삶엔(3N)맞춤간편건강보험,1370,112619772
현대해상,건강보험,간편한3.10.10건강보험,1319,124735110
KB손보,건강보험,KB 탑클래스 3.N.5 초경증 간편건강보험,1284,103113474
삼성화재,재물·화재·가정,무배당 삼성화재 가정종합보험 슬기로운가정생활,1151,25490078
하나손보,운전자,무배당 하나 가득담은 운전자상해종합보험,1075,18006668
롯데손보,운전자,let : drive 운전자보험,954,18450292
한화손보,건강보험,한화 더 경증 간편건강보혐II(세만기형),876,71088580
한화손보,건강보험,한화 시그니처 여성 건강보험 4.0(무),870,64045790
삼성화재,실손의료,(무)실손의료비보험,853,15800248
삼성화재,건강보험,삼성화재 간편보험 새로고침100세,850,78249368
현대해상,실손의료,무배당 실손의료비보장보험,823,23003359
삼성화재,건강보험,삼성화재 간편보험 3655 고고 새로고침100세,804,75046124
KB손보,실손의료,(무) KB손보실손의료비보장보험,800,17569697
한화손보,건강보험,한화3N5더간편건강보험,758,57636392
KB손보,건강보험,5.10.10 금쪽같은 건강보험,755,61547535
현대해상,종합보험,무배당퍼펙트플러스종합보험,732,65174402
현대해상,어린이·자녀,무배당 굿앤굿어린이종합보험Q,725,58679730
메리츠화재,건강보험,(무)메리츠통합간편건강보험(Ⅱ),716,60345658
메리츠화재,어린이·자녀,(무) 메리츠 The건강한 내Mom대로 5.10.5 보장보험,696,52387019
KB손보,건강보험,5.10.10 플러스 건강보험,671,60257231
삼성화재,건강보험,(무)삼성화재간편보험마이핏,664,52239085
삼성화재,건강보험,(무)삼성화재간편365알뜰한새로고침100세,629,58563140
KB손보,재물·화재·가정,(무)KB홈앤비즈케어종합보험,626,37763859
삼성화재,건강보험,(무)삼성화재 간편365당당한 새로고침100세,621,56093178
DB손보,건강보험,건강할때 가입하는 행복플러스종합보험,557,56360352
한화손보,건강보험,한화 시그니처 여성 간편건강보험 4.0(무),538,41350714
한화손보,치매·간병,한화 치매간병보험(무),537,44505995
흥국화재,종합보험,(무)흥Good든든한3N5간편종합보험,524,46767043
KB손보,어린이·자녀,KB금쪽같은 자녀보험 plus,509,34473678
메리츠화재,건강보험,(무) 메리츠 The건강한 5.10.5 보장보험,493,40808670
KB손보,건강보험,(무)고당지맞춤간편건강보험,455,39667578
